date,luminosity
2023-01-18,1171874.75
2023-01-19,1264080.25
2023-01-20,578303.875
2023-01-21,600128.625
2023-01-23,958986.375
2023-01-25,931993.8125
2023-01-27,651135.625
2023-01-28,960164.125
2023-02-19,1379972.625
2023-02-20,1335622.0
2023-02-21,1053232.625
2023-02-22,795909.1875
2023-02-26,704519.1875
2023-02-27,759966.375
2023-02-28,760439.5
2023-03-17,916279.5
2023-03-18,1321102.0
2023-03-19,1129987.5
2023-03-21,776666.375
2023-03-23,1153796.25
2023-03-24,1160448.0
2023-03-27,889425.125
2023-03-28,815209.1875
2023-03-29,1225982.75
2023-04-16,826702.25
2023-04-17,699204.375
2023-04-18,1033567.6875
2023-04-19,1497367.5
2023-04-20,1132635.25
2023-04-21,887283.1875
2023-04-22,755485.625
2023-04-23,872907.25
2023-04-24,1693989.25
2023-04-25,1372094.5
2023-04-26,1105226.875
2023-04-27,852416.3125
2023-04-28,1335295.75
2023-04-29,1439741.125
2023-05-16,1561826.625
2023-05-17,1168918.5
2023-05-19,721392.9375
2023-05-22,1198655.375
2023-05-24,1026205.375
2023-05-26,1171239.0
2023-05-27,1235515.25
2023-05-28,941135.25
2023-05-29,784340.375
2023-06-14,1038453.1875
2023-06-15,1006500.625
2023-06-16,1052551.25
2023-06-17,1662668.0
2023-06-18,961098.25
2023-06-19,958723.8125
2023-06-20,790751.8125
2023-06-21,1063657.5
2023-06-22,1236825.25
2023-06-23,1307806.625
2023-06-24,1032330.8125
2023-06-25,795365.75
2023-06-26,1086822.5
2023-06-27,1652699.5
2023-06-28,1154501.375
2023-06-29,997448.75
2023-07-14,972429.125
2023-07-15,800413.3125
2023-07-16,758958.1875
2023-07-17,875917.75
2023-07-18,1259702.375
2023-07-19,1388801.625
2023-07-20,930351.0
2023-07-21,701413.125
2023-07-22,692688.6875
2023-07-23,628233.625
2023-07-24,754264.25
2023-07-25,613518.3125
2023-08-12,970937.25
2023-08-13,919538.5
2023-08-14,1564585.875
2023-08-15,1481100.25
2023-08-16,1096678.625
2023-08-17,894867.8125
2023-08-18,826756.125
2023-08-20,1150811.0
2023-08-21,1035270.0625
2023-08-23,735995.0
2023-08-24,1100151.25
2023-08-25,1175994.25
2023-08-26,1148829.75
2023-08-27,925294.5625
2023-09-11,1110844.0
2023-09-12,936226.8125
2023-09-13,1010100.0625
2023-09-14,872388.0
2023-09-15,1390350.75
2023-09-16,1416062.625
2023-09-17,937640.1875
2023-09-18,710260.0625
2023-09-19,714634.3125
2023-09-20,1381607.25
2023-09-21,1480325.0
2023-09-22,1025468.6875
2023-09-23,890766.8125
2023-09-24,857410.25
2023-10-10,713619.0
2023-10-11,1070415.25
2023-10-12,1639385.25
2023-10-14,978747.75
2023-10-15,1023866.75
2023-10-16,1003524.3125
2023-10-17,1344106.75
2023-10-18,1356275.0
2023-10-21,855921.75
2023-10-22,971663.8125
2023-10-24,1377180.5
2023-11-09,1152041.625
2023-11-10,741916.875
2023-11-11,828385.125
2023-11-16,609834.1875
2023-11-17,717078.625
2023-11-18,1293407.5
2023-11-21,740269.0
2023-11-22,1237745.125
2023-12-11,971741.125
2023-12-14,918017.625
2023-12-15,1349889.75
2023-12-16,1051724.875
2023-12-17,1038897.0625
2023-12-19,978480.5
2023-12-20,1286058.75
2023-12-21,846446.3125
2024-01-07,963286.75
2024-01-10,935210.125
2024-01-16,926905.6875
2024-01-17,1170282.0
2024-01-18,1371320.25
2024-01-19,726644.6875
2024-02-05,945370.75
2024-02-06,1502558.375
2024-02-07,1232313.5
2024-02-08,929222.5
2024-02-09,703998.75
2024-02-13,1113126.875
2024-02-17,936857.8125
2024-03-06,907797.875
2024-03-07,742589.375
2024-03-09,1129651.25
2024-03-10,1004748.125
2024-03-11,816641.625
2024-03-12,811514.25
2024-03-13,1023674.625
2024-05-05,790602.125
2024-05-07,1210635.875
2024-05-08,1258777.5
2024-05-09,1035669.625
2024-05-10,1198813.75
2024-05-11,976592.6875
2024-05-15,745704.5625
2024-05-17,1094557.25
2024-06-04,1001056.75
2024-06-05,821384.1875
2024-06-06,773039.625
2024-06-07,1515566.5
2024-06-08,1141322.0
2024-06-09,1031940.6875
2024-06-11,838203.25
2024-06-12,948538.75
2024-06-13,1596202.0
2024-06-14,1245696.75
2024-06-15,987427.9375
2024-06-16,749399.4375
2024-06-17,852534.4375
2024-07-02,892197.1875
2024-07-03,1117136.0
2024-07-04,1083586.625
2024-07-05,1058242.25
2024-07-06,980380.5
2024-07-07,861896.25
2024-07-08,1042086.3125
2024-08-01,1162327.25
2024-08-02,787887.5625
2024-08-03,839189.4375
2024-08-04,946501.0625
2024-08-05,709646.0
2024-08-06,801498.875
2024-08-08,792543.375
2024-08-10,832985.6875
2024-08-12,888407.4375
2024-08-13,981052.125
2024-08-14,863152.0625
2024-08-15,1030322.0625
2024-08-16,1192806.75
2024-08-30,658034.625
2024-08-31,1092720.25
2024-09-01,1085373.25
2024-09-03,1006030.0625
2024-09-04,773127.375
2024-09-05,863829.0
2024-09-06,1481638.25
2024-09-07,1008320.625
2024-09-08,949795.3125
2024-09-09,1026919.9375
2024-09-10,791987.75
2024-09-11,1085687.75
2024-09-12,1389188.0
2024-09-13,1223085.0
2024-09-14,1238492.125
2024-09-30,762942.75
2024-10-02,1030807.0
2024-10-04,1625885.875
2024-10-05,1034977.125
2024-10-06,794579.5
2024-10-07,935146.3125
2024-10-08,1596548.0
2024-10-09,1656287.625
2024-10-10,1358819.375
2024-10-11,992890.125
2024-10-12,864879.1875
2024-10-28,1153061.875
2024-10-29,1395861.375
2024-11-27,750205.375
2024-11-28,903060.0
2024-11-29,836313.75
2024-11-30,974172.875
2024-12-01,1523993.5
2024-12-02,1197848.5
2024-12-03,821588.5625
2024-12-04,799072.625
2024-12-06,1568836.125
2024-12-09,736904.5625
2024-12-10,840948.5625
2024-12-31,565336.9375
2025-01-01,1330166.375
2025-01-02,1330774.625
2025-01-03,1426828.375
2025-01-04,941154.875
2025-01-05,726686.75
2025-01-27,775381.0625
2025-01-28,1010047.1875
2025-01-30,1067848.25
2025-01-31,943286.5
2025-02-01,715160.875
2025-02-02,965677.6875
2025-02-04,1149185.375
2025-02-24,767503.1875
2025-02-27,826315.5
2025-02-28,804516.875
2025-03-01,970182.875
2025-03-02,1378586.75
2025-03-03,967699.25
2025-03-24,1174034.0
2025-03-25,844970.75
2025-03-27,898633.4375
2025-03-28,1517534.5
2025-03-29,1275416.75
2025-03-30,1175281.75
2025-03-31,781039.25
2025-04-24,1070427.125
2025-04-25,1278643.0
2025-04-26,782498.6875
2025-04-27,925826.25
2025-04-28,941253.1875
2025-04-29,1278060.875
2025-04-30,1142695.5
2025-05-01,1067135.0
2025-05-02,824631.1875
2025-05-03,846622.75
2025-05-04,1041887.25
2025-05-05,1122245.875
2025-05-06,1321867.0
2025-05-24,821537.375
2025-05-25,1174646.25
2025-05-26,1246504.625
2025-05-28,1056690.0
2025-05-29,746181.125
2025-05-30,973873.8125
2025-06-01,1162533.875
2025-06-03,885630.0
2025-06-04,927356.875
2025-06-05,1536717.75
2025-06-06,1302173.875
2025-06-22,1549266.5
2025-06-23,1096032.375
2025-06-24,946041.625
2025-06-25,995214.125
2025-06-28,1079415.5
2025-06-29,1250869.625
2025-06-30,859707.0
2025-07-01,1006543.875
2025-07-02,1451657.875
2025-07-03,1367406.0
2025-07-04,1075900.0
2025-07-22,1092602.25
2025-07-23,1313291.625
