date,luminosity
2023-01-16,172307.5
2023-01-17,114397.5
2023-01-18,102724.203125
2023-01-19,92501.3984375
2023-01-20,95882.3984375
2023-01-22,123984.5
2023-01-24,85567.90625
2023-01-25,90471.5
2023-01-26,105214.109375
2023-01-27,137364.8125
2023-01-28,111491.109375
2023-02-16,96498.5
2023-02-17,148171.296875
2023-02-19,96797.1015625
2023-02-20,89027.203125
2023-02-21,97725.203125
2023-02-23,124998.0078125
2023-02-24,102639.3984375
2023-02-25,94991.3046875
2023-03-15,119480.0
2023-03-16,150489.90625
2023-03-18,98909.1953125
2023-03-19,99202.8984375
2023-03-23,103926.59375
2023-03-24,99779.0
2023-03-25,109455.1015625
2023-03-26,169642.1875
2023-03-27,147948.390625
2023-03-28,116197.203125
2023-04-14,116705.8984375
2023-04-15,119457.109375
2023-04-16,152646.703125
2023-04-17,138008.59375
2023-04-18,134989.1875
2023-04-19,128381.5
2023-04-20,112364.8046875
2023-04-22,191164.90625
2023-04-23,137272.59375
2023-04-24,109171.8984375
2023-04-25,103840.2890625
2023-04-26,112360.3046875
2023-04-27,168652.609375
2023-05-14,83098.6015625
2023-05-15,86733.796875
2023-05-16,102431.59375
2023-05-17,104029.5078125
2023-05-18,129053.8984375
2023-05-19,104318.0
2023-05-21,104427.203125
2023-05-22,102234.1015625
2023-05-23,118113.3984375
2023-05-24,102929.5
2023-05-25,76563.5
2023-05-27,99358.90625
2023-06-12,94930.5
2023-06-13,111165.203125
2023-06-14,136122.703125
2023-06-16,122118.6953125
2023-06-17,102071.0
2023-06-18,109072.8984375
2023-06-19,125696.703125
2023-06-20,149034.890625
2023-06-21,121103.1953125
2023-06-22,103210.0
2023-06-23,106223.796875
2023-06-24,116999.296875
2023-06-25,169297.296875
2023-06-26,127724.6953125
2023-06-27,108470.0078125
2023-07-12,124374.296875
2023-07-13,105918.3984375
2023-07-14,96606.3984375
2023-07-15,109323.5
2023-07-16,156638.0
2023-07-17,128093.1875
2023-07-18,105797.8984375
2023-07-19,92888.203125
2023-07-20,98806.09375
2023-07-21,117322.390625
2023-07-22,134107.59375
2023-07-23,107186.8984375
2023-07-24,94882.5
2023-07-25,88019.0
2023-07-26,92165.1953125
2023-08-11,116481.703125
2023-08-12,183051.796875
2023-08-13,122853.703125
2023-08-14,105179.609375
2023-08-15,99035.5
2023-08-16,107362.8046875
2023-08-17,149675.90625
2023-08-18,134649.5
2023-08-19,108428.8046875
2023-08-20,96635.6953125
2023-08-21,92586.8984375
2023-08-24,102248.296875
2023-08-25,92433.5
2023-08-26,92086.6015625
2023-09-10,97388.703125
2023-09-11,93073.296875
