date,luminosity
2023-01-20,20654.5
2023-01-21,24776.69921875
2023-01-22,19640.30078125
2023-01-24,18706.19921875
2023-01-25,18517.80078125
2023-01-26,31546.19921875
2023-01-28,16699.6015625
2023-02-16,28600.798828125
2023-02-17,21628.69921875
2023-02-18,16824.099609375
2023-02-19,19230.90234375
2023-02-20,18795.6015625
2023-02-21,19578.0
2023-02-22,25350.5
2023-02-23,18068.099609375
2023-02-24,15678.7998046875
2023-02-25,18005.19921875
2023-02-28,25462.90234375
2023-03-17,17044.69921875
2023-03-21,19733.201171875
2023-03-27,19952.40234375
2023-03-28,16823.5
2023-04-15,25325.701171875
2023-04-16,32037.501953125
2023-04-17,21195.5
2023-04-18,21377.69921875
2023-04-20,25846.80078125
2023-04-21,32604.30078125
2023-04-23,17822.0
2023-04-24,16497.5
2023-04-26,27442.5
2023-04-28,17934.30078125
2023-04-29,23617.80078125
2023-05-15,19555.701171875
2023-05-16,21047.0
2023-05-17,27417.3984375
2023-05-18,34478.09765625
2023-05-19,28594.5
2023-05-20,22466.701171875
2023-05-21,20279.3984375
2023-05-22,23244.8984375
2023-05-23,27554.1015625
2023-05-25,23987.400390625
2023-05-26,25624.30078125
2023-05-30,27637.900390625
2023-06-14,37618.3984375
2023-06-15,29179.0
2023-06-16,27462.099609375
2023-06-17,36019.8984375
2023-06-18,35407.5
2023-06-19,47375.0
2023-06-20,30578.19921875
2023-06-21,24149.0
2023-06-22,29479.0
2023-06-23,30403.599609375
2023-06-24,45965.1015625
2023-06-25,32303.19921875
2023-06-26,32306.6015625
2023-06-27,32112.701171875
2023-06-28,33271.203125
2023-07-14,23220.80078125
2023-07-15,22184.80078125
2023-07-16,35713.796875
2023-07-17,23665.0
2023-07-18,22295.5
2023-07-19,18474.0
2023-07-20,35820.5
2023-07-21,29720.5
2023-07-22,24175.900390625
2023-07-23,20816.0
2023-07-24,17944.400390625
2023-07-25,29175.30078125
2023-08-12,28060.40234375
2023-08-13,21125.400390625
2023-08-14,18211.8984375
2023-08-15,37292.30078125
2023-08-16,23617.0
2023-08-17,37949.69921875
2023-08-18,25068.099609375
2023-08-19,19842.1015625
2023-08-20,19520.400390625
2023-08-21,24300.099609375
2023-08-22,30771.0
2023-08-23,23753.69921875
2023-08-24,20506.0
2023-08-25,18569.5
2023-08-26,18579.5
2023-09-11,20610.69921875
2023-09-12,27609.998046875
2023-09-13,22091.6015625
2023-09-14,22414.0
2023-09-15,22959.6015625
2023-09-16,27205.69921875
2023-09-17,28874.80078125
2023-09-18,34874.5
